rna_type,gene_name,rnacentral_id,hgnc_id
"lncRNA","LINC01619","URS00008E3966_9606","HGNC:27409"
"lncRNA","LINC02410","URS0000A76CFC_9606","HGNC:53339"
"lncRNA","LINC01405","URS000075E0AF_9606","HGNC:50688"
"lncRNA","TBX5-AS1","URS000075C09F_9606","HGNC:27402"
"lncRNA","E","URS00003884B6_9606","HGNC:53353"
"lncRNA","LINC02439","URS0000A7699F_9606","HGNC:53371"
"lncRNA","PXN-AS1","URS000075E544_9606","HGNC:44123"
"lncRNA","LINC02985","URS0000A77235_9606","HGNC:56073"
"lncRNA","CLIP1-AS1","URS000075B10A_9606","HGNC:48586"
"lncRNA","LINC02825","URS00008B2436_9606","HGNC:27477"
"lncRNA","LINC02372","URS000075E0B5_9606","HGNC:53294"
"lncRNA","LINC02405","URS000075E9AF_9606","HGNC:53333"
"lncRNA","LINC02376","URS0000BC4612_9606","HGNC:53298"
"lncRNA","TMEM132D-AS2","URS000075B018_9606","HGNC:53324"
"lncRNA","LINC02419","URS0000BC452D_9606","HGNC:53349"
"lncRNA","GALNT9-AS1","URS000075F009_9606","HGNC:56353"
"lncRNA","TPTE2-AS1","URS0002278345_9606","HGNC:42668"
"lncRNA","ENSG00000293217.1","URS000075DBFF_9606","HGNC:42689"
"lncRNA","LINC00621","URS0000A769F1_9606","HGNC:44227"
"lncRNA","LINC00566","URS00008E39E9_9606","HGNC:43710"
"lncRNA","PLUT","URS0000ABD8D4_9606","HGNC:43698"
"lncRNA","MTUS2-AS1","URS000075AE05_9606","HGNC:40924"
"lncRNA","LINC00545","URS000075E4FB_9606","NA"
"lncRNA","TEX26-AS1","URS000075C7C2_9606","HGNC:42784"
"lncRNA","LINC00423","URS000075E824_9606","HGNC:42758"
"lncRNA","STARD13-AS","URS000075B77B_9606","HGNC:40873"
"lncRNA","LINC02344","URS0000BC4642_9606","HGNC:53264"
"lncRNA","LINC02343","URS0000BC4438_9606","HGNC:53263"
"sRNA","LINC00598","URS000075C127_9606","HGNC:42770"
"lncRNA","LINC01050","URS000060E43B_9606","HGNC:49044"
"lncRNA","SMIM2-AS1","URS000075D262_9606","HGNC:42674"
"lncRNA","TUSC8","URS000075BBEF_9606","HGNC:49111"
"lncRNA","TSC22D1-AS1","URS000075B8E6_9606","HGNC:43684"
"lncRNA","LINC00407","URS0000BC4527_9606","NA"
"lncRNA","RB1-DT","URS0000E60ABC_9606","HGNC:42778"
"lncRNA","DLEU7-AS1","URS000075D421_9606","HGNC:39966"
"lncRNA","INTS6-AS1","URS000075B759_9606","HGNC:42691"
"lncRNA","LINC00458","URS000075E99D_9606","HGNC:42807"
"lncRNA","DIAPH3-AS1","URS000075BEA5_9606","HGNC:39915"
"lncRNA","LINC00434","URS000081220A_9606","HGNC:42769"
"lncRNA","LINC00459","URS0000BC454A_9606","HGNC:42808"
"lncRNA","LINC00364","URS0000812100_9606","HGNC:42686"
"lncRNA","LMO7DN","URS0000EEACB6_9606","HGNC:44370"
"lncRNA","RBM26-AS1","URS000075EA5C_9606","HGNC:39805"
"lncRNA","LINC01038","URS00007E3D13_9606","HGNC:49026"
"lncRNA","NONHSAG014006.2","URS000075DF65_9606","HGNC:42679"
"lncRNA","FGF14-AS1","URS00007E3644_9606","HGNC:40237"
"lncRNA","LINC00460","URS0000E60AFA_9606","HGNC:42809"
"lncRNA","LINC00443","URS000075C049_9606","NA"
"lncRNA","MYO16-AS2","URS0002123196_9606","HGNC:39914"
"lncRNA","MYO16-AS1","URS000075E4D6_9606","HGNC:39913"
"lncRNA","LINC00399","URS00007E3588_9606","HGNC:42728"
"lncRNA","LINC03032","URS0000BC43EC_9606","HGNC:56192"
"lncRNA","COL4A2-AS2","URS0002123245_9606","HGNC:39849"
