"RNAID","Dataset","GC_percentage","GA","GT","CpG","TA","phyloP_max_241w","phyloP_max_100w","RPKM_tissue","RPKM_primary.cell","copy_number","repeat_distance","Interaction_ave","MFE","SNP_density","MAF_avg","fickett","GERP_91_mammals_max","GERP_63_amniotes_max","lowComplexity_density","Max_covariance","coding_potential","methylome","H3K9ac_MaxScaledSignal","H3K79me2_MaxScaledSignal","chrm_acc_MaxScaledSignal","H3K79me1_MaxScaledSignal","Random","T","C","G","MaxEnt_splicing"
"RNA1034","lncrna-exon1-negative-control",0.963558227823707,1.2478079050317,-0.385423291129483,0.0987059648014531,-3.17260468346399,-0.316690920928063,-1.08670085978208,-0.925015898710759,-0.779879940644813,4311.3449345744,0.580852129093727,-0.0381161854249675,-2.93843845808817,0.413519354574506,-0.351851772508484,-0.827831499793178,-0.562075632897163,NA,0,-0.589808166664359,0,0.0329401364358622,0,0,1.21661536090857,0,-0.680348363772704,0.738334210737804,0.662006469493652,-0.572235147407474,-1.33396668828185
"RNA1035","lncrna-exon1-negative-control",0.674490759476595,-0.607041683528936,1.25262569617082,0.542882806407992,1.29901924047344,-1.28300424375984,-1.54607546458762,0.32760979746006,-0.737724268177526,13.9956832591394,8.20654809089853,-0.940475444724737,0.493374943587669,0.897950623554236,0.407680651541195,-0.806981708155571,-1.12693206103076,NA,0,-0.995858153062598,0,-0.842393350766887,0,0,-0.346625091404482,0,0.708398863218859,-0.625568787677826,-1.13069104675436,1.45087416089734,-0.297531592400367
"RNA1036","lncrna-exon1-negative-control",0.867202405041337,-0.303520841764468,0.321186075941236,0.98705964801453,-1.77366088603105,0.575524846686576,2.02615643722247,-0.385423291129483,-0.779879940644813,-0.674490759476595,1.26119530296925,-0.772267061218903,0.115130023209881,-0.26649364068023,1.11852509969025,-0.277586544120689,0.863821498978798,NA,0,0.570465200320557,0,0.430903585313802,0,0,-0.331620114189119,0,0.392748242980653,0.526637572710036,0.186244168598824,-0.487544328199367,-1.24851968484282
"RNA1037","lncrna-exon1-negative-control",0.385423291129483,0.978011601241063,-2.89067468347112,0.213862923736481,-3.22256696194373,-0.0578569951695499,0.1019980341221,-0.925015898710759,-0.779879940644813,-0.674490759476595,0.529643503103096,0.522026017776726,0.112369111382306,0.48550673202492,3.11408293860368,2.11388455671286,0.396411235832736,NA,0.884522578429285,0.705713657905567,0,0.454116953552522,0,0,0.199823238525193,0,-0.68422593281379,2.72847999434145,-1.50007531447537,-0.82747575426225,0.139685961380791
"RNA1038","lncrna-exon1-negative-control",0.867202405041337,0.775664373398085,0.867202405041337,-0.954157659747379,-1.7236986075513,0.0933832202736596,-0.174853772780743,-0.79011774681544,-0.779879940644813,-0.674490759476595,-0.378943832330668,-0.756523419412938,0.0212590210723283,0.378082465865603,-0.679034970560653,0.0935397470287202,-0.195247325111646,NA,0,0.156647566020476,0,0.247356462324742,0,0,-0.390320876026686,0,0.947983129076609,2.34555087753599,-0.825547521245684,-0.147612902136484,-0.643875131553367
"RNA1039","lncrna-exon1-negative-control",1.44533734173556,1.48387967084851,-2.11982810121216,-0.509980818140841,-1.97350999995004,-0.154285320452133,-0.779172952391382,-0.0963558227823708,-0.927424794280318,-0.674490759476595,0.0585241439892924,-1.14099972456913,-0.102982011168551,0.163218678752003,-0.570623077555272,1.37352741001746,0.431910749489399,NA,0,-0.550665313511941,0,0.171210411157451,0.492721723893595,0,2.68163699257924,0,-0.138396214179193,-1.19654345291453,-0.488283624630848,0.87218137605218,0.647200443724519
"RNA1040","lncrna-exon1-negative-control",2.21618392399453,1.82112505058681,0.321186075941236,2.12217824323124,-2.2982648100684,-1.26676368371225,-1.10740722761137,-0.655219594920121,-0.927424794280318,62696.7826790773,2.50483336274172,-1.24540492812448,-0.481226931546339,2.52664406302677,-0.264862588899375,-2.16998945057406,-1.10225989903938,NA,0,-1.02068416498417,0,0.256457222302314,0,0,-0.505153264818412,0,-0.815403268459046,-1.67520484892136,2.43467014603111,1.09880232676076,0.0183500000229296
"RNA1041","lncrna-exon1-negative-control",0.770846582258966,0.539592607581276,1.38110012654731,0.559333800541567,-1.84860430375067,0.389265923640744,0.712452433830309,-1.05991405060608,-0.927424794280318,-0.674490759476595,0.768129389859463,0.116005781728161,-0.014632832686148,-0.05162985356663,-0.00259669204803301,1.58486847979866,0.0295829280472191,NA,0,-0.136086145103836,0,-0.549913232518436,0.457925059106768,0,10.3714572849048,0,-0.789085299861035,-0.0477561024981496,-0.375862325759231,0.418939474634997,0.0848829154038481
"RNA1042","lncrna-exon1-negative-control",-0.0963558227823707,0.168622689869149,2.05559088602391,1.59574643095682,-0.274792531638613,1.9671378357647,0.929485844781846,-0.925015898710759,-0.0421556724672872,-0.674490759476595,0.498918327508718,-0.378676016069784,0.587245945725223,0.270658199706287,8.79175010162804,-0.35719483946428,1.61522787137816,NA,0,1.18091094131236,0,-0.0332049133263157,0,0,9.33957693816379,0,-1.3461352182741,-1.57947256972,3.33404053700401,-0.600854803553667,-0.445015653492417
"RNA1043","lncrna-exon1-negative-control",0.963558227823707,-0.607041683528936,-0.835083797447213,-0.65803976534302,-1.87358544299054,0.185751405544345,-0.0291422954634574,-0.674490759476595,1.18035882908404,-0.674490759476595,-0.0321882791941108,0.934675155638328,0.377416646829515,-0.54579368173546,-0.680982489596678,0.638287939451296,0.674490759476595,NA,0,0.252753170453067,0,0.762408034688027,0,0,28.9913327922999,0,0.0636498833020847,-0.803585240192745,1.60596457149177,1.01031224124598,0.529393517985241
"RNA1044","lncrna-exon1-negative-control",0.578134936694224,0.944287063267234,-1.02779544301195,0.707392747743746,0.974264430355082,0.039586365116008,0.375782230976159,-0.713033088589544,-0.274011871037367,30327.8025091056,-0.115585184378853,-0.0845184981162321,-1.78437731416178,0.145873976874249,5.6263824950757,-1.08883298238395,0.20116391072109,NA,0,-0.98336899369101,0,0.0397259898854733,0,0,2.80248622867019,0,-1.12107121095318,-0.86831849565272,-0.238303345152361,2.11296627077034,0.444016039102644
