"","Random number","GC%","Complexity","CpG","GA","GT","TA","T%","C%","G%","PhyloP-mammals","PhyloP-vertebrates","GERP-mammals","GERP-vertebrates","Tissue RPKM","Primary cell RPKM","H3K9ac","H3K79me1","H3K79me2","Chromatin Accessibility","Methylome","Repeat free","Copies","RNAcode","Fickett","Covariance","MFE","Interactions","MaxEnt splicing","SNPs","MAF"
"PhyloP-mammals",-0.00378948902427271,0.174618161787222,-0.0385211633496964,0.132459776778242,0.0378528917707245,-0.0665092358607914,-0.0713354034353384,-0.112932763826929,0.133287837506224,0.14993672007037,1,0.820222424105712,0.797383304479496,0.62914304826088,0.110660553451798,0.151602036151382,0.253543396909262,0.137462771033635,0.280051434047316,0.41844181487396,-0.11265301410545,0.313479786741934,-0.601160639371952,0.0187589965361385,-0.0713767487251725,0.78030311278852,-0.216640482522793,-0.0358415360566523,0.0651138752111851,-0.00109568532464646,-0.102322266922975
"PhyloP-vertebrates",-0.0117074829397785,0.150174496304234,-0.0423634609360599,0.12203769623891,0.0486331236567674,-0.0789114266385585,-0.0632247658744225,-0.100989808056158,0.104808626127516,0.130321971589065,0.820222424105712,1,0.86355368534751,0.646662438125315,0.107658283808693,0.110080005202996,0.22884040647386,0.143854474361254,0.262869006300453,0.386261190434979,-0.105727432957713,0.36997880163427,-0.641057163282406,0.0135898260376447,-0.0489354255700637,0.713465995202488,-0.192981590804638,-0.0226262126809032,0.0418882421763775,-0.0119807336572897,-0.0987286595130302
"GERP-mammals",-0.00755912612631884,0.107711572865392,-0.0822546849984053,0.104840399943016,0.0617159134622688,-0.0572830823122396,-0.0398919839291125,-0.0629158597549018,0.0775963925941128,0.101310542172837,0.797383304479496,0.86355368534751,1,0.641859513164084,0.144852970329273,0.129209350046234,0.195072078106702,0.132352399487529,0.261814446191602,0.367900244820353,-0.12805171561734,0.386376100720784,-0.614439217601213,0.0191862755109444,-0.048712105725741,0.736214404471722,-0.153239891712206,0.00678178643564211,0.0494945841047713,-0.0284576678212947,-0.106746529063537
"GERP-vertebrates",-0.00271218463482177,0.128828915560624,0.0017784643410523,0.0869983092298197,0.0494196111134886,-0.0629225311885158,-0.0700305558104485,-0.113232972196522,0.0896593119850982,0.125195270236944,0.62914304826088,0.646662438125315,0.641859513164084,1,0.120095715339524,0.0840524687999627,0.198048417063501,0.115900213898411,0.265253702536501,0.324813473946328,-0.111712866629607,0.302952977657013,-0.494920706760198,0.0378901397286391,-0.0584768124052355,0.529918069710796,-0.174904319659361,-0.032120154941209,0.0610871552670861,0.0191697903494428,-0.100521439366537
"Tissue RPKM",0.0175483899080151,0.0732199536345646,-0.0307727363234433,0.132878716732685,0.0596022513669224,0.0283742085234643,-0.0171138256989412,-0.0264563336770393,0.0215168718179512,0.11376901473151,0.110660553451798,0.107658283808693,0.144852970329273,0.120095715339524,1,0.597078246528125,0.121416845052812,0.159463049437245,0.201498618931797,0.0786407357184684,0.0140565791912772,0.141640353833674,0.000143996591325413,0.0146708668092903,-0.0120325598383663,0.0612842652655417,-0.0563208132950726,0.109662681340919,0.00552185392545036,0.139941167963742,-0.0644459979527783
"Primary cell RPKM",0.00722256506538957,0.185360401322043,-0.0227563897024993,0.178523014684587,0.019146837147915,0.0425789152171629,-0.0440860326943434,-0.0940011291844856,0.113857396962272,0.188469083630071,0.151602036151382,0.110080005202996,0.129209350046234,0.0840524687999627,0.597078246528125,1,0.201577825180361,0.19509061353353,0.248312410956726,0.182239477962299,0.0838462950440629,0.0969859929544539,0.00512492491258478,0.00740732086562374,0.0183587829917651,0.0728649044142419,-0.138892884673991,0.0615177438978034,0.00148057126764343,0.142335518150024,-0.0751909810030926
"H3K9ac",0.017892897561544,0.28708831934214,-0.00711607198192028,0.204306828485921,-0.00221325164256321,-0.0584136925636445,-0.098209280421468,-0.215797657101027,0.223759316544796,0.222958207917725,0.253543396909262,0.22884040647386,0.195072078106702,0.198048417063501,0.121416845052812,0.201577825180361,1,0.295879433578475,0.23461010673265,0.35495639841274,0.0398017564865537,0.137130504165159,-0.132705282310166,0.0246343364607138,-0.0422882524515106,0.14046632528498,-0.222916587209702,-0.108895886656469,-0.00369214393763698,0.161930986952306,-0.0416915394869825
"H3K79me1",0.00247514994715651,0.08544439812963,-0.0187030516884433,0.0141946560667649,0.0290246773627619,0.00799394904359306,-0.0392455695111691,-0.0170224211666752,0.069126338101118,0.0630416765904885,0.137462771033635,0.143854474361254,0.132352399487529,0.115900213898411,0.159463049437245,0.19509061353353,0.295879433578475,1,0.264136802555374,0.10055546968607,0.0674660518777303,0.0770545658924625,-0.0519919034487667,-0.000845699369226788,0.0377202801858794,0.0987758009560613,-0.115398278363659,0.0149902055804138,0.0581772995344581,0.00236875701158062,-0.0240363932126288
"H3K79me2",-0.00144108873985355,0.179894665461254,0.00499105709036459,0.147791481368682,0.03707320760327,-0.0470633419307577,-0.0814903736999018,-0.109528498166459,0.150195161741317,0.149125867743756,0.280051434047316,0.262869006300453,0.261814446191602,0.265253702536501,0.201498618931797,0.248312410956726,0.23461010673265,0.264136802555374,1,0.237186985787192,0.0547125529157505,0.193070589630343,-0.151786680289738,0.0297578411842872,-0.0313239126372844,0.181386194101272,-0.207669418117514,-0.0391108593057764,0.00546855570914847,0.0986000741865256,-0.0477554594065982
"Chromatin Accessibility",0.00628598757335585,0.508421037532931,-0.0538029549054871,0.245244061929722,-0.0119916360780524,-0.0468948237046626,-0.157821266281295,-0.368425237746793,0.381895713616133,0.401713681515534,0.41844181487396,0.386261190434979,0.367900244820353,0.324813473946328,0.0786407357184684,0.182239477962299,0.35495639841274,0.10055546968607,0.237186985787192,1,0.0355537928410038,0.23835435965995,-0.297272902077505,0.0182655919969566,-0.0129335425572457,0.299020478472006,-0.360292605113655,-0.226935710367681,0.0240592447218703,0.168522862155238,-0.0285303424293874
